AgentId,Start,Seed,Floor,Reward,Steps,Time
40,0,98,0,0.0,601,14978.592309099999
23,0,66,2,2.4,1001,14999.346044299999
18,0,32,0,0.0,601,14999.391960699999
26,0,12,1,1.2,801,14988.7532337
17,0,73,2,2.3,634,14995.8924754
31,0,40,1,1.2,801,14980.093478699999
47,0,52,2,2.5,1001,14963.0405903
41,0,71,0,0.0,601,14968.7210985
10,0,8,1,1.2,801,15001.0916473
48,0,4,1,1.2,801,14960.754002799998
32,0,87,1,1.2,801,14976.1482138
36,0,95,2,2.4,1001,14971.3076582
4,0,47,1,1.0,801,15002.8266929
35,0,77,2,2.3,1001,14969.5326321
44,0,94,0,0.0,601,14962.200782
43,0,80,1,1.1,801,14959.6416213
38,0,32,0,0.0,601,14961.4165147
49,0,67,1,1.2,801,14946.051390499999
12,0,10,1,1.2,801,14986.3851408
30,0,21,2,2.4,1001,14963.083854999999
39,0,61,1,1.1,801,14951.636087399998
42,0,17,1,1.2,801,14949.9399604
21,0,83,1,1.2,801,14966.1492886
14,0,43,1,1.2,801,14971.691980200001
11,0,57,1,1.2,801,14972.384403799999
25,0,77,2,2.2,1001,14954.252615099998
13,0,83,1,1.2,801,14962.4878342
8,0,31,2,2.2,1001,14964.0996987
2,0,85,0,0.0,601,14972.675110499998
40,0,85,0,0.0,601,14930.786172299999
9,0,1,1,1.2,801,14960.9823286
18,0,98,0,0.0,601,14951.684529099999
46,0,49,1,1.1,801,14923.2086248
7,0,65,1,1.2,801,14965.1981423
24,0,93,3,3.7,1201,14942.5242672
27,0,77,2,2.3,1101,14939.259913799999
29,0,16,1,1.0,801,14936.4178536
6,0,73,0,0.0,601,14958.0249312
20,0,0,3,3.8,1401,14943.274257399999
41,0,76,4,5.2,1601,14921.4723066
17,0,87,1,1.0,801,14945.653311999999
15,0,31,2,2.6,1001,14943.3823228
16,0,47,1,1.2,801,14940.738422499999
44,0,26,2,2.3,1001,14914.6781348
1,0,98,0,0.0,601,14955.0893964
5,0,44,1,1.2,801,14949.8818213
37,0,59,1,1.2,801,14917.287815399999
38,0,30,1,1.0,801,14914.3006822
3,0,93,1,1.2,801,14950.5426792
26,0,4,2,2.4,1101,14923.5557147
19,0,20,2,2.6,1001,14929.427166899999
34,0,64,1,1.2,801,14917.764041299999
31,0,73,1,1.2,801,14915.510472799999
10,0,94,1,1.0,801,14936.945502499999
48,0,45,1,1.2,801,14896.583232699999
32,0,12,2,2.2,1001,14911.984717399999
4,0,23,1,1.2,801,14938.8381749
33,0,97,2,2.2,1101,14908.2765657
0,0,8,2,2.4,1201,14942.994713099999
45,0,90,0,0.0,19,14895.031251999999
45,0,19,2,2.4,1001,14892.8581844
43,0,54,1,1.0,801,14894.653290999999
23,0,49,1,1.2,801,14917.4994489
22,0,17,1,1.2,801,14911.917328399999
49,0,96,1,1.1,801,14881.553867199998
12,0,37,1,1.2,801,14921.8883391
47,0,6,0,0.0,601,14881.993994699998
36,0,53,2,2.4,1001,14891.025591599999
39,0,30,1,1.0,801,14886.9251794
42,0,8,1,1.2,801,14885.2550823
35,0,82,2,2.3,1201,14889.0494303
21,0,67,1,1.2,801,14901.190513799998
2,0,0,2,2.6,1001,14922.9107869
40,0,11,2,2.2,1001,14881.019046399999
14,0,33,2,2.4,1001,14906.298805
18,0,1,1,1.1,801,14901.827192199999
6,0,90,0,0.0,601,14908.3868357
11,0,20,2,2.2,1001,14906.4946487
30,0,14,3,3.7,1201,14881.766486999999
28,0,87,1,1.2,801,14881.415316499999
13,0,91,1,1.2,801,14896.319054599999
1,0,9,1,1.2,801,14905.6959225
9,0,39,2,2.6,1101,14895.0749141
46,0,77,1,1.2,801,14857.4753014
7,0,91,2,2.4,1001,14899.443079199998
29,0,92,3,3.9,1301,14871.024822599999
17,0,11,3,3.7,1201,14880.056303899999
25,0,95,0,0.0,601,14871.733171099999
16,0,24,1,1.2,801,14875.613716599999
8,0,54,1,1.0,801,14882.282546299999
5,0,46,0,0.0,601,14884.9576809
37,0,18,1,1.1,801,14852.3272678
38,0,99,2,2.4,1001,14848.6088065
3,0,31,3,3.6,1301,14884.786990499999
34,0,81,1,1.1,801,14853.1504377
31,0,45,1,1.2,801,14850.895975599999
47,0,48,1,1.2,801,14833.8606783
10,0,39,1,1.2,801,14872.1537312
48,0,12,2,2.4,1001,14831.7911006
4,0,1,1,1.2,801,14874.2291601
15,0,96,2,2.2,1001,14861.175131099999
27,0,63,1,1.2,801,14848.5566506
44,0,37,1,1.1,801,14832.4946462
43,0,79,1,1.2,801,14829.975987599999
23,0,79,1,1.2,801,14852.8088987
22,0,22,1,1.2,801,14847.229856099999
24,0,71,1,1.0,801,14844.193764
19,0,85,2,2.3,1001,14848.3370623
6,0,44,1,1.2,801,14859.002494299999
49,0,1,1,1.2,801,14815.336735899999
12,0,37,1,1.1,801,14855.6699433
